,FullClassPath,Project,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,classname2,Fullpathname,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
0, com.jakewharton.telecine.BugsnagTree,Telecine-v1.6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BugsnagTree,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/BugsnagTree.java,BugsnagTree,57,2,3,0,0,False,False,2,False,False,3,6,7,3,0.0,True,False,False,True,False,default,0,0,0,False,Service Provider
1, com.jakewharton.telecine.CaptureHelper,Telecine-v1.6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureHelper,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/CaptureHelper.java,CaptureHelper,51,1,2,0,0,False,False,2,True,False,2,7,6,5,0.0,True,False,False,True,False,default,0,0,0,False,Service Provider
2, com.jakewharton.telecine.CheatSheet,Telecine-v1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CheatSheet,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/CheatSheet.java,CheatSheet,145,1,5,3,0,False,False,2,False,False,2,8,6,11,0.0,True,False,False,True,False,default,0,0,0,False,Service Provider
3, com.jakewharton.telecine.DeleteRecordingBroadcastReceiver,Telecine-v1.6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,DeleteRecordingBroadcastReceiver,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/DeleteRecordingBroadcastReceiver.java,DeleteRecordingBroadcastReceiver,35,0,1,0,0,False,False,4,True,False,1,2,10,3,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
4, com.jakewharton.telecine.RecordingSession,Telecine-v1.6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RecordingSession,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/RecordingSession.java,RecordingSession,439,23,10,0,1,False,False,2,False,False,13,11,48,48,0.0,True,False,False,True,False,default,0,0,0,False,Interfacer
5, com.jakewharton.telecine.TelecineActivity,Telecine-v1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TelecineActivity,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/TelecineActivity.java,TelecineActivity,185,15,10,0,0,False,False,2,False,False,8,5,23,35,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
6, com.jakewharton.telecine.TelecineApplication,Telecine-v1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TelecineApplication,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/TelecineApplication.java,TelecineApplication,42,1,2,0,0,False,False,2,False,False,1,0,5,5,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
7, com.jakewharton.telecine.TelecineService,Telecine-v1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TelecineService,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/TelecineService.java,TelecineService,112,13,4,0,0,False,False,2,False,False,5,7,12,10,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
8, com.jakewharton.telecine.VideoSizePercentageAdapter,Telecine-v1.6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,VideoSizePercentageAdapter,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/VideoSizePercentageAdapter.java,VideoSizePercentageAdapter,55,1,5,0,5,False,False,4,True,False,3,6,7,0,0.0,True,False,False,True,False,default,0,0,0,False,Service Provider
9,com.amaze.filemanager.adapters.AppsAdapter,AmazeFileManager-v3.5.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,AppsAdapter,AmazeFileManager-v3.5.2/app/src/main/java/com/amaze/filemanager/adapters/AppsAdapter.java,AppsAdapter,348,9,4,1,1,False,False,2,True,False,19,7,43,48,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
