,FullClassPath,Project,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass
0,biz.ganttproject.core.calendar.CalendarEvent,ganttproject-2.8.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,biz.ganttproject.core.calendar.GPCalendarBase,ganttproject-2.8.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,biz.ganttproject.core.calendar.WeekendCalendarImpl,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
3,biz.ganttproject.core.chart.canvas.Canvas,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
4,biz.ganttproject.core.chart.canvas.DummySpatialIndex,ganttproject-2.8.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,biz.ganttproject.core.chart.canvas.FontChooser,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,biz.ganttproject.core.chart.grid.Offset,ganttproject-2.8.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,biz.ganttproject.core.chart.grid.OffsetBuilderImpl,ganttproject-2.8.11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,biz.ganttproject.core.chart.grid.OffsetLookup,ganttproject-2.8.11,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0
9,biz.ganttproject.core.chart.grid.OffsetManager,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,biz.ganttproject.core.chart.render.RectangleRenderer,ganttproject-2.8.11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,biz.ganttproject.core.chart.render.ShapeConstants,ganttproject-2.8.11,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0
12,biz.ganttproject.core.chart.render.ShapePaint,ganttproject-2.8.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,biz.ganttproject.core.chart.render.Style,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
14,biz.ganttproject.core.chart.render.TextPainter,ganttproject-2.8.11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
15,biz.ganttproject.core.chart.scene.BottomUnitSceneBuilder,ganttproject-2.8.11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,biz.ganttproject.core.chart.scene.DayGridSceneBuilder,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
17,biz.ganttproject.core.chart.scene.TimelineSceneBuilder,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,biz.ganttproject.core.chart.scene.gantt.DependencySceneBuilder,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
19,biz.ganttproject.core.chart.scene.gantt.TaskActivitySceneBuilder,ganttproject-2.8.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,biz.ganttproject.core.chart.scene.gantt.TaskLabelSceneBuilder,ganttproject-2.8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
21,biz.ganttproject.core.chart.text.TimeFormatters,ganttproject-2.8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,biz.ganttproject.core.option.DefaultFileOption,ganttproject-2.8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
23,biz.ganttproject.core.option.GPAbstractOption,ganttproject-2.8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,biz.ganttproject.core.time.GanttCalendar,ganttproject-2.8.11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
25,biz.ganttproject.core.time.impl.GPTimeUnitStack,ganttproject-2.8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,biz.ganttproject.desktop.DesktopAdapter,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,biz.ganttproject.impex.csv.CsvImportTest,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,biz.ganttproject.impex.csv.GPCsvExportTest,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,biz.ganttproject.impex.csv.GPCsvImportTest,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,biz.ganttproject.impex.csv.GanttCSVExport,ganttproject-2.8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,biz.ganttproject.impex.csv.GanttCSVOpen,ganttproject-2.8.11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
32,biz.ganttproject.impex.csv.ResourceRecords,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,biz.ganttproject.impex.csv.TaskRecords,ganttproject-2.8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,biz.ganttproject.impex.ical.IcsFileImporter,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
35,biz.ganttproject.impex.msproject2.CustomPropertyMapping,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,biz.ganttproject.impex.msproject2.CustomPropertyMappingTest,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,biz.ganttproject.impex.msproject2.ImporterFromMsProjectFile,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,biz.ganttproject.impex.msproject2.ProjectFileExporter,ganttproject-2.8.11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0
39,biz.ganttproject.impex.msproject2.ProjectFileImporter,ganttproject-2.8.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
40,biz.ganttproject.impex.msproject2.WebStartIDClass,ganttproject-2.8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
41,ca.mcgill.cs.jetuml.JetUML,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,ca.mcgill.cs.jetuml.application.Clipboard,JetUML-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43,ca.mcgill.cs.jetuml.application.MoveTracker,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,ca.mcgill.cs.jetuml.application.RecentFilesQueue,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,ca.mcgill.cs.jetuml.application.Version,JetUML-3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,ca.mcgill.cs.jetuml.diagram.ControlFlow,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
47,ca.mcgill.cs.jetuml.diagram.Diagram,JetUML-3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
48,ca.mcgill.cs.jetuml.diagram.Properties,JetUML-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,ca.mcgill.cs.jetuml.diagram.Property,JetUML-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,ca.mcgill.cs.jetuml.diagram.Prototypes,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,ca.mcgill.cs.jetuml.diagram.builder.ClassDiagramBuilder,JetUML-3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
52,ca.mcgill.cs.jetuml.diagram.builder.DiagramBuilder,JetUML-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,ca.mcgill.cs.jetuml.diagram.builder.ObjectDiagramBuilder,JetUML-3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
54,ca.mcgill.cs.jetuml.diagram.builder.SequenceDiagramBuilder,JetUML-3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
55,ca.mcgill.cs.jetuml.diagram.builder.StateDiagramBuilder,JetUML-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,ca.mcgill.cs.jetuml.diagram.builder.UseCaseDiagramBuilder,JetUML-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,ca.mcgill.cs.jetuml.diagram.builder.constraints.ClassDiagramEdgeConstraints,JetUML-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,ca.mcgill.cs.jetuml.diagram.builder.constraints.EdgeConstraints,JetUML-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,ca.mcgill.cs.jetuml.diagram.builder.constraints.ObjectDiagramEdgeConstraints,JetUML-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,ca.mcgill.cs.jetuml.diagram.builder.constraints.SequenceDiagramEdgeConstraints,JetUML-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,JetUML-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,ca.mcgill.cs.jetuml.diagram.edges.ConstructorEdge,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
63,ca.mcgill.cs.jetuml.diagram.edges.NoteEdge,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
64,ca.mcgill.cs.jetuml.diagram.edges.ObjectCollaborationEdge,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
65,ca.mcgill.cs.jetuml.diagram.edges.ObjectReferenceEdge,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
66,ca.mcgill.cs.jetuml.diagram.edges.ReturnEdge,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
67,ca.mcgill.cs.jetuml.diagram.edges.StateTransitionEdge,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
68,ca.mcgill.cs.jetuml.diagram.edges.UseCaseAssociationEdge,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
69,ca.mcgill.cs.jetuml.diagram.edges.UseCaseGeneralizationEdge,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
70,ca.mcgill.cs.jetuml.diagram.nodes.FinalStateNode,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
71,ca.mcgill.cs.jetuml.diagram.nodes.InitialStateNode,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
72,ca.mcgill.cs.jetuml.diagram.nodes.InterfaceNode,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
73,ca.mcgill.cs.jetuml.diagram.nodes.NoteNode,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
74,ca.mcgill.cs.jetuml.diagram.nodes.PointNode,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
75,ca.mcgill.cs.jetuml.diagram.nodes.StateNode,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
76,ca.mcgill.cs.jetuml.diagram.nodes.UseCaseNode,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
77,ca.mcgill.cs.jetuml.geom.Rectangle,JetUML-3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,ca.mcgill.cs.jetuml.gui.AboutDialog,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,ca.mcgill.cs.jetuml.gui.DiagramCanvas,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,ca.mcgill.cs.jetuml.gui.DiagramCanvasController,JetUML-3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0
81,ca.mcgill.cs.jetuml.gui.DiagramSizeDialog,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,ca.mcgill.cs.jetuml.gui.DiagramTab,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
83,ca.mcgill.cs.jetuml.gui.DiagramTabToolBar,JetUML-3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,ca.mcgill.cs.jetuml.gui.EditorFrame,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
85,ca.mcgill.cs.jetuml.gui.MenuFactory,JetUML-3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86,ca.mcgill.cs.jetuml.gui.PropertyEditorDialog,JetUML-3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,ca.mcgill.cs.jetuml.gui.SelectableToolButton,JetUML-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,ca.mcgill.cs.jetuml.gui.SelectionModel,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
89,ca.mcgill.cs.jetuml.gui.TipDialog,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,ca.mcgill.cs.jetuml.gui.ViewportProjection,JetUML-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,ca.mcgill.cs.jetuml.gui.WelcomeTab,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92,ca.mcgill.cs.jetuml.gui.tips.TipDialog,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
93,ca.mcgill.cs.jetuml.persistence.JsonDecoder,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,ca.mcgill.cs.jetuml.persistence.JsonEncoder,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95,ca.mcgill.cs.jetuml.persistence.VersionMigrator,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
96,ca.mcgill.cs.jetuml.persistence.VersionedDiagram,JetUML-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,ca.mcgill.cs.jetuml.viewers.edges.CallEdgeViewer,JetUML-3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98,ca.mcgill.cs.jetuml.viewers.edges.LabeledStraightEdgeViewer,JetUML-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,ca.mcgill.cs.jetuml.viewers.edges.NoteEdgeViewer,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
100,ca.mcgill.cs.jetuml.viewers.edges.ObjectCollaborationEdgeViewer,JetUML-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
