,FullClassPath,Project_x,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,classname2,Fullpathname,Project_y,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
0,biz.ganttproject.core.calendar.CalendarEvent,ganttproject-2.8.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CalendarEvent,ganttproject-v2.8.11/biz.ganttproject.core/src/biz/ganttproject/core/calendar/CalendarEvent.java,ganttproject-2.8.11,CalendarEvent,93,5,7,0,3,False,False,2,False,False,1,6,3,1,0.0,True,False,False,True,False,public,0,0,0,False,Information Holder
1,biz.ganttproject.core.calendar.GPCalendarBase,ganttproject-2.8.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GPCalendarBase,ganttproject-v2.8.11/biz.ganttproject.core/src/biz/ganttproject/core/calendar/GPCalendarBase.java,ganttproject-2.8.11,GPCalendarBase,145,3,12,2,4,False,False,4,False,False,8,24,6,10,0.0,True,False,False,True,False,default,0,0,0,True,Service Provider
2,biz.ganttproject.core.calendar.WeekendCalendarImpl,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,WeekendCalendarImpl,ganttproject-v2.8.11/biz.ganttproject.core/src/biz/ganttproject/core/calendar/WeekendCalendarImpl.java,ganttproject-2.8.11,WeekendCalendarImpl,380,9,22,4,12,False,False,3,False,False,23,24,18,27,0.0,True,False,False,True,False,public,0,0,0,False,Structurer
3,biz.ganttproject.core.chart.canvas.Canvas,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,Canvas,ganttproject-v2.8.11/biz.ganttproject.core/src/biz/ganttproject/core/chart/canvas/Canvas.java,ganttproject-2.8.11,Canvas,691,10,18,1,5,False,False,1,False,False,13,37,10,28,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
4,biz.ganttproject.core.chart.canvas.DummySpatialIndex,ganttproject-2.8.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DummySpatialIndex,ganttproject-v2.8.11/biz.ganttproject.core/src/biz/ganttproject/core/chart/canvas/DummySpatialIndex.java,ganttproject-2.8.11,DummySpatialIndex,85,2,5,0,2,False,False,3,False,False,1,11,3,4,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
5,biz.ganttproject.core.chart.canvas.FontChooser,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,FontChooser,ganttproject-v2.8.11/biz.ganttproject.core/src/biz/ganttproject/core/chart/canvas/FontChooser.java,ganttproject-2.8.11,FontChooser,129,4,6,0,5,False,False,2,True,False,10,5,9,9,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
6,biz.ganttproject.core.chart.grid.Offset,ganttproject-2.8.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Offset,ganttproject-v2.8.11/biz.ganttproject.core/src/biz/ganttproject/core/chart/grid/Offset.java,ganttproject-2.8.11,Offset,122,7,13,0,7,False,False,1,False,False,1,10,3,5,0.0,True,False,False,True,False,public,0,0,0,False,Information Holder
7,biz.ganttproject.core.chart.grid.OffsetBuilderImpl,ganttproject-2.8.11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,OffsetBuilderImpl,ganttproject-v2.8.11/biz.ganttproject.core/src/biz/ganttproject/core/chart/grid/OffsetBuilderImpl.java,ganttproject-2.8.11,OffsetBuilderImpl,196,13,12,0,7,False,False,3,False,False,8,18,10,10,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
8,biz.ganttproject.core.chart.grid.OffsetLookup,ganttproject-2.8.11,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,OffsetLookup,ganttproject-v2.8.11/biz.ganttproject.core/src/biz/ganttproject/core/chart/grid/OffsetLookup.java,ganttproject-2.8.11,OffsetLookup,146,2,6,0,1,False,False,2,False,False,13,17,2,17,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
9,biz.ganttproject.core.chart.grid.OffsetManager,ganttproject-2.8.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,OffsetManager,ganttproject-v2.8.11/biz.ganttproject.core/src/biz/ganttproject/core/chart/grid/OffsetManager.java,ganttproject-2.8.11,OffsetManager,113,5,6,0,3,False,False,2,True,False,7,1,0,8,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
