,FullClassPath,Project,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass
0, com.jakewharton.telecine.BugsnagTree,Telecine-v1.6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1, com.jakewharton.telecine.CaptureHelper,Telecine-v1.6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2, com.jakewharton.telecine.CheatSheet,Telecine-v1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3, com.jakewharton.telecine.DeleteRecordingBroadcastReceiver,Telecine-v1.6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4, com.jakewharton.telecine.RecordingSession,Telecine-v1.6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5, com.jakewharton.telecine.TelecineActivity,Telecine-v1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6, com.jakewharton.telecine.TelecineApplication,Telecine-v1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7, com.jakewharton.telecine.TelecineService,Telecine-v1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8, com.jakewharton.telecine.VideoSizePercentageAdapter,Telecine-v1.6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,com.amaze.filemanager.adapters.AppsAdapter,AmazeFileManager-v3.5.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,com.amaze.filemanager.adapters.CompressedExplorerAdapter,AmazeFileManager-v3.5.2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
11,com.amaze.filemanager.adapters.HiddenAdapter,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,com.amaze.filemanager.adapters.RecyclerAdapter,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0
13,com.amaze.filemanager.adapters.data.AppDataParcelable,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,com.amaze.filemanager.adapters.data.LayoutElementParcelable,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,com.amaze.filemanager.adapters.holders.EmptyViewHolder,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
16,com.amaze.filemanager.adapters.holders.SpecialViewHolder,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,com.amaze.filemanager.asynchronous.asynctasks.CloudLoaderAsyncTask,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
19,com.amaze.filemanager.asynchronous.asynctasks.DeleteTask,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,com.amaze.filemanager.asynchronous.asynctasks.GenerateHashesTask,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,com.amaze.filemanager.asynchronous.asynctasks.MoveFiles,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
23,com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,com.amaze.filemanager.asynchronous.asynctasks.ReadFileTask,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
25,com.amaze.filemanager.asynchronous.asynctasks.SearchAsyncTask,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,com.amaze.filemanager.asynchronous.asynctasks.WriteFileAbstraction,AmazeFileManager-v3.5.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
27,com.amaze.filemanager.asynchronous.asynctasks.compress.ZipHelperTask,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,com.amaze.filemanager.asynchronous.asynctasks.ssh.SshAuthenticationTask,AmazeFileManager-v3.5.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,com.amaze.filemanager.asynchronous.handlers.FileHandler,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
30,com.amaze.filemanager.asynchronous.loaders.AppListLoader,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,com.amaze.filemanager.asynchronous.management.ServiceWatcherUtil,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
32,com.amaze.filemanager.asynchronous.services.AbstractProgressiveService,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,com.amaze.filemanager.asynchronous.services.CopyService,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
34,com.amaze.filemanager.asynchronous.services.DecryptService,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
35,com.amaze.filemanager.asynchronous.services.EncryptService,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
36,com.amaze.filemanager.asynchronous.services.ExtractService,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,com.amaze.filemanager.asynchronous.services.ZipService,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,com.amaze.filemanager.asynchronous.services.ftp.FtpService,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
39,com.amaze.filemanager.crashreport.ErrorActivity,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
40,com.amaze.filemanager.database.UtilsHandler,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,com.amaze.filemanager.database.models.OperationData,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,com.amaze.filemanager.database.models.utilities.Bookmark,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
43,com.amaze.filemanager.database.models.utilities.Grid,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
44,com.amaze.filemanager.database.models.utilities.Hidden,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
45,com.amaze.filemanager.database.models.utilities.History,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
46,com.amaze.filemanager.database.models.utilities.List,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
47,com.amaze.filemanager.database.models.utilities.OperationData,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,com.amaze.filemanager.database.models.utilities.OperationDataWithName,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,com.amaze.filemanager.database.models.utilities.SftpEntry,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,com.amaze.filemanager.database.models.utilities.SmbEntry,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
51,com.amaze.filemanager.exceptions.CloudPluginException,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52,com.amaze.filemanager.exceptions.ShellNotRunningException,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
53,com.amaze.filemanager.filesystem.CustomFileObserver,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
54,com.amaze.filemanager.filesystem.EditableFileAbstraction,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,com.amaze.filemanager.filesystem.FileUtil,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
56,com.amaze.filemanager.filesystem.HybridFile,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
57,com.amaze.filemanager.filesystem.MediaStoreHack,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,com.amaze.filemanager.filesystem.RootHelper,AmazeFileManager-v3.5.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,com.amaze.filemanager.filesystem.StorageNaming,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,com.amaze.filemanager.filesystem.cloud.CloudStreamServer,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,com.amaze.filemanager.filesystem.cloud.CloudStreamer,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,com.amaze.filemanager.filesystem.cloud.CloudUtil,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
63,com.amaze.filemanager.filesystem.compressed.CompressedHelper,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64,com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.Bzip2Extractor,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.GzipExtractor,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.LzmaExtractor,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.RarExtractor,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.SevenZipExtractor,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.TarExtractor,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.XzExtractor,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.ZipExtractor,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
